,vv_list,vh_list,vv/vh_list
0,"[0.130476713180542, 0.35729560256004333, 0.26930686831474304, 0.16536206007003784, 0.1704433113336563, 0.06611107289791107, 0.024128912016749382, 0.04230842366814613, 0.09075655788183212, 0.07227015495300293, 0.05840161070227623, 0.07505204528570175, 0.01740759052336216, 0.01855921559035778]","[0.00524574751034379, 0.02901931293308735, 0.028946969658136368, 0.040449030697345734, 0.023644253611564636, 0.04615694284439087, 0.011637985706329346, 0.02031790465116501, 0.011992296203970909, 0.01954074762761593, 0.05166338384151459, 0.012822557240724564, 0.0026976359076797962, 0.003082618582993746]","[24.872854235409235, 12.31233845487295, 9.303456337407901, 4.088158782032048, 7.208656874255943, 1.4323104786378869, 2.073289366872724, 2.082322187968345, 7.567904956498711, 3.6984334647906336, 1.1304255811317392, 5.853126164828942, 6.452905847599803, 6.020600697324556]"
1,"[0.1904633790254593, 0.35354650020599365, 0.3779504597187042, 0.08978794515132904, 0.09770125895738602, 0.07630889117717743, 0.16688531637191772, 0.08718621730804443, 0.10041552782058716, 0.07934008538722992, 0.14556220173835754, 0.09528765827417374, 0.1364458054304123, 0.1516065150499344]","[0.02539343759417534, 0.051653992384672165, 0.053576260805130005, 0.03955511376261711, 0.039103444665670395, 0.03116624988615513, 0.023730792105197906, 0.02385084144771099, 0.034445878118276596, 0.05669170245528221, 0.048395413905382156, 0.019892850890755653, 0.03827011585235596, 0.04006674513220787]","[7.500496075771448, 6.8445145067025885, 7.054438925728742, 2.2699453145344295, 2.4985333080683727, 2.448446362841872, 7.032437671364698, 3.6554776274533434, 2.9151681799427784, 1.3995008431756393, 3.007768505151048, 4.790045368432062, 3.565335572978479, 3.7838490386398935]"
2,"[0.4241330027580261, 0.03778503090143204, 0.19820965826511383, 0.01693592593073845, 0.05767732113599777, 0.028530770912766457, 0.06015326827764511, 0.04671482741832733, 0.10347700864076614, 0.6278784275054932, 0.1491299569606781, 0.3810555636882782, 0.46576350927352905, 0.4048296809196472]","[0.11418552696704865, 0.031229600310325623, 0.05517719313502312, 0.01702759973704815, 0.010781434364616871, 0.0172085203230381, 0.020087826997041702, 0.02821309305727482, 0.019455479457974434, 0.09035500138998032, 0.050941359251737595, 0.008218871429562569, 0.03312578797340393, 0.013451811857521534]","[3.7144199796916584, 1.209910806605455, 3.5922388763067112, 0.9946161638912477, 5.349689028881585, 1.6579444587441121, 2.9945134576529244, 1.6557853945149694, 5.318656312957267, 6.949016854036816, 2.9274828773947825, 46.363490042885246, 14.060450717352952, 30.09480694552594]"
3,"[0.40619412064552307, 0.11051570624113083, 0.05918918922543526, 0.03871697187423706, 0.05736590549349785, 0.02628239430487156, 0.1318233460187912, 0.08420789241790771, 0.043990667909383774, 0.24515454471111298, 0.14428570866584778, 0.21200622618198395, 0.15481483936309814, 0.03741663694381714]","[0.029456976801156998, 0.03170967847108841, 0.021989302709698677, 0.017504913732409477, 0.017796264961361885, 0.01812654733657837, 0.033503953367471695, 0.03780706599354744, 0.04560742899775505, 0.04670853167772293, 0.041254594922065735, 0.009609078988432884, 0.004625663626939058, 0.0032313840929418802]","[13.789402876861715, 3.485235788243471, 2.6917265184279384, 2.211777359551022, 3.223480073939506, 1.4499393523131205, 3.934560932942791, 2.2273056690587825, 0.9645504882888518, 5.248603111795879, 3.497445773941512, 22.063116188054085, 33.46867646438525, 11.57913632908699]"
4,"[0.13732333481311798, 0.2205643355846405, 0.15404938161373138, 0.1880827248096466, 0.05578575283288956, 0.05651408061385155, 0.09006191790103912, 0.11811483651399612, 0.06773822009563446, 0.06171359494328499, 0.10790257900953293, 0.15137752890586853, 0.8596712946891785, 0.09305369108915329, 0.0664931982755661, 0.05338998883962631, 0.29725027084350586, 0.27897554636001587]","[0.03822758048772812, 0.08936841040849686, 0.024604249745607376, 0.031918954104185104, 0.012315995059907436, 0.01584426872432232, 0.032166074961423874, 0.08822128176689148, 0.020272264257073402, 0.019527457654476166, 0.041580889374017715, 0.028519419953227043, 0.09816139191389084, 0.01022174023091793, 0.01730932481586933, 0.0074824383482337, 0.012992126867175102, 0.00954318419098854]","[3.592258078096304, 2.468034673286188, 6.261088356950774, 5.892509015042753, 4.5295367984102475, 3.566846889380105, 2.799903874160853, 1.338847431689928, 3.3414234955031836, 3.160349700163797, 2.5950041144852727, 5.307875446069154, 8.757733340245414, 9.103507718547931, 3.841466896190231, 7.135373036816204, 22.87926171614867, 29.232962581131726]"
5,"[0.44499799609184265, 0.13176947832107544, 0.21198895573616028, 0.04876783490180969, 0.06397587060928345, 0.07327121496200562, 0.08097593486309052, 0.1063888818025589, 0.030193371698260307, 0.2282182276248932, 0.11583057045936584, 0.14615243673324585, 0.03227410465478897, 0.04573892429471016]","[0.05404840037226677, 0.029304899275302887, 0.022160690277814865, 0.026877200230956078, 0.02427631989121437, 0.035220637917518616, 0.04604906961321831, 0.024311572313308716, 0.040826715528964996, 0.07069434970617294, 0.023915797472000122, 0.011331173591315746, 0.001753757824189961, 0.018338371068239212]","[8.233324076695142, 4.496499956651481, 9.565990638314325, 1.8144685637918812, 2.635319970076535, 2.0803488890120523, 1.7584705954590343, 4.3760592869725325, 0.7395493687666171, 3.228238587290739, 4.843266071097011, 12.898261204404955, 18.40282860588005, 2.4941650555826524]"
6,"[0.13384690880775452, 0.07567179948091507, 0.14198340475559235, 0.04354848340153694, 0.01449622679501772, 0.03846031054854393, 0.0528295636177063, 0.026418307796120644, 0.045481886714696884, 0.23932041227817535, 0.42436712980270386, 0.04691123217344284, 0.0610709972679615, 0.0219161007553339]","[0.06190416216850281, 0.012820717878639698, 0.015682484954595566, 0.013338854536414146, 0.01985331065952778, 0.005247871391475201, 0.027528228238224983, 0.01138287503272295, 0.01756429485976696, 0.08630065619945526, 0.0354255810379982, 0.008226802572607994, 0.006559824105352163, 0.004345451947301626]","[2.162163320188777, 5.902305954878713, 9.053629266450264, 3.264784339813633, 0.7301667235061802, 7.328744871877007, 1.9191051149579086, 2.3208818264431916, 2.589451331683026, 2.7731007250404427, 11.979115581689939, 5.7022435824142335, 9.309852869093495, 5.043457164206599]"
7,"[0.31861332058906555, 0.029617775231599808, 0.10071396827697754, 0.016832835972309113, 0.024534793570637703, 0.03697286918759346, 0.044470056891441345, 0.07637137919664383, 0.06687074154615402, 0.2730526626110077, 0.08759235590696335, 0.14337779581546783, 0.22062543034553528, 0.03670267015695572]","[0.026301274076104164, 0.035247065126895905, 0.025794746354222298, 0.013056537136435509, 0.030391771346330643, 0.02683873102068901, 0.01987951062619686, 0.018530016764998436, 0.028246261179447174, 0.0848756730556488, 0.0065590995363891125, 0.007172928191721439, 0.0024901714641600847, 0.004381965380162001]","[12.113988077807205, 0.8402905355373669, 3.9044372405891807, 1.2892266759871178, 0.8072840931530606, 1.3775937900749633, 2.2369794572729322, 4.121495418228796, 2.367419217762214, 3.2170898065453986, 13.354326370717697, 19.988739881844324, 88.59848951001874, 8.375846674443336]"
8,"[0.3060307800769806, 0.16318166255950928, 0.10331614315509796, 0.03441053256392479, 0.032885946333408356, 0.12297123670578003, 0.10935981571674347, 0.02948497049510479, 0.11743539571762085, 0.9757398366928101, 0.02574191987514496, 0.05303533375263214, 0.025574443861842155, 0.016856810078024864]","[0.009744061157107353, 0.020734181627631187, 0.022793563082814217, 0.015128118917346, 0.016605272889137268, 0.05655980110168457, 0.023556087166070938, 0.055168427526950836, 0.04589268937706947, 0.11553901433944702, 0.0031542815268039703, 0.01082912739366293, 0.008649636059999466, 0.004386866930872202]","[31.406902639743866, 7.870176189739119, 4.532689460604594, 2.274607487681066, 1.9804520258695342, 2.174180854785882, 4.642528911773604, 0.5344537050779781, 2.5589129186292157, 8.44511130955421, 8.16094557711454, 4.897470666350066, 2.956707505892882, 3.8425624354813457]"
9,"[0.3187093138694763, 0.050239309668540955, 0.11730608344078064, 0.06276271492242813, 0.10679416358470917, 0.05718700960278511, 0.06556539982557297, 0.08248066157102585, 0.05044671148061752, 0.08554498106241226, 0.40386882424354553, 0.01306868251413107, 0.02085978537797928, 0.00897687952965498]","[0.018428025767207146, 0.020661843940615654, 0.02744189091026783, 0.04459201917052269, 0.014530313201248646, 0.03032602183520794, 0.05039168894290924, 0.015183228999376297, 0.050066906958818436, 0.026544181630015373, 0.08921631425619125, 0.00715988501906395, 0.0025855707935988903, 0.0032743369229137897]","[17.294815944778126, 2.431501748485474, 4.274708467589187, 1.407487619755893, 7.349749596280687, 1.8857405667495784, 1.3011153466170708, 5.432353129522977, 1.00758593939329, 3.2227394407850394, 4.526849462574819, 1.8252642995431243, 8.067768026163487, 2.7415869963884387]"
